group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,crossbeam,512,,,797125.0,ns,3
Batching,crossbeam,512,,,1564522.0,ns,6
Batching,crossbeam,512,,,2345786.0,ns,9
Batching,crossbeam,512,,,3122808.0,ns,12
Batching,crossbeam,512,,,3884035.0,ns,15
Batching,crossbeam,512,,,4735419.0,ns,18
Batching,crossbeam,512,,,5495203.0,ns,21
Batching,crossbeam,512,,,6246076.0,ns,24
Batching,crossbeam,512,,,6992270.0,ns,27
Batching,crossbeam,512,,,7792193.0,ns,30
Batching,crossbeam,512,,,8543476.0,ns,33
Batching,crossbeam,512,,,9319866.0,ns,36
Batching,crossbeam,512,,,10100203.0,ns,39
Batching,crossbeam,512,,,11215914.0,ns,42
Batching,crossbeam,512,,,11750747.0,ns,45
Batching,crossbeam,512,,,12776178.0,ns,48
Batching,crossbeam,512,,,13350608.0,ns,51
Batching,crossbeam,512,,,14112852.0,ns,54
Batching,crossbeam,512,,,15217504.0,ns,57
Batching,crossbeam,512,,,15805037.0,ns,60
Batching,crossbeam,512,,,16791305.0,ns,63
Batching,crossbeam,512,,,17594354.0,ns,66
Batching,crossbeam,512,,,18413961.0,ns,69
Batching,crossbeam,512,,,19031738.0,ns,72
Batching,crossbeam,512,,,19464261.0,ns,75
Batching,crossbeam,512,,,20230650.0,ns,78
Batching,crossbeam,512,,,21071179.0,ns,81
Batching,crossbeam,512,,,21790289.0,ns,84
Batching,crossbeam,512,,,22648255.0,ns,87
Batching,crossbeam,512,,,23296169.0,ns,90
Batching,crossbeam,512,,,24069483.0,ns,93
Batching,crossbeam,512,,,24834788.0,ns,96
Batching,crossbeam,512,,,25606288.0,ns,99
Batching,crossbeam,512,,,26379314.0,ns,102
Batching,crossbeam,512,,,27167265.0,ns,105
Batching,crossbeam,512,,,27931808.0,ns,108
Batching,crossbeam,512,,,28718782.0,ns,111
Batching,crossbeam,512,,,29478130.0,ns,114
Batching,crossbeam,512,,,30268346.0,ns,117
Batching,crossbeam,512,,,31051120.0,ns,120
Batching,crossbeam,512,,,31823982.0,ns,123
Batching,crossbeam,512,,,32583995.0,ns,126
Batching,crossbeam,512,,,33357160.0,ns,129
Batching,crossbeam,512,,,34118666.0,ns,132
Batching,crossbeam,512,,,35310932.0,ns,135
Batching,crossbeam,512,,,36808360.0,ns,138
Batching,crossbeam,512,,,37464825.0,ns,141
Batching,crossbeam,512,,,37863363.0,ns,144
Batching,crossbeam,512,,,38078205.0,ns,147
Batching,crossbeam,512,,,38823448.0,ns,150
