group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,crossbeam,64,,,795867.0,ns,33
Batching,crossbeam,64,,,1586156.0,ns,66
Batching,crossbeam,64,,,2385716.0,ns,99
Batching,crossbeam,64,,,3167725.0,ns,132
Batching,crossbeam,64,,,3960639.0,ns,165
Batching,crossbeam,64,,,4756481.0,ns,198
Batching,crossbeam,64,,,5544866.0,ns,231
Batching,crossbeam,64,,,6338436.0,ns,264
Batching,crossbeam,64,,,7142984.0,ns,297
Batching,crossbeam,64,,,7935053.0,ns,330
Batching,crossbeam,64,,,8718662.0,ns,363
Batching,crossbeam,64,,,9509599.0,ns,396
Batching,crossbeam,64,,,10323501.0,ns,429
Batching,crossbeam,64,,,11096730.0,ns,462
Batching,crossbeam,64,,,11888939.0,ns,495
Batching,crossbeam,64,,,12673754.0,ns,528
Batching,crossbeam,64,,,13475800.0,ns,561
Batching,crossbeam,64,,,14374092.0,ns,594
Batching,crossbeam,64,,,15255998.0,ns,627
Batching,crossbeam,64,,,15869097.0,ns,660
Batching,crossbeam,64,,,16669994.0,ns,693
Batching,crossbeam,64,,,17443068.0,ns,726
Batching,crossbeam,64,,,18263280.0,ns,759
Batching,crossbeam,64,,,19021305.0,ns,792
Batching,crossbeam,64,,,20007211.0,ns,825
Batching,crossbeam,64,,,20798656.0,ns,858
Batching,crossbeam,64,,,21827966.0,ns,891
Batching,crossbeam,64,,,22351294.0,ns,924
Batching,crossbeam,64,,,23003827.0,ns,957
Batching,crossbeam,64,,,23828035.0,ns,990
Batching,crossbeam,64,,,24576083.0,ns,1023
Batching,crossbeam,64,,,25379023.0,ns,1056
Batching,crossbeam,64,,,26134645.0,ns,1089
Batching,crossbeam,64,,,26947128.0,ns,1122
Batching,crossbeam,64,,,27743423.0,ns,1155
Batching,crossbeam,64,,,28557882.0,ns,1188
Batching,crossbeam,64,,,29362259.0,ns,1221
Batching,crossbeam,64,,,30113367.0,ns,1254
Batching,crossbeam,64,,,30904976.0,ns,1287
Batching,crossbeam,64,,,31683908.0,ns,1320
Batching,crossbeam,64,,,32493372.0,ns,1353
Batching,crossbeam,64,,,33268201.0,ns,1386
Batching,crossbeam,64,,,34083335.0,ns,1419
Batching,crossbeam,64,,,34868396.0,ns,1452
Batching,crossbeam,64,,,35642052.0,ns,1485
Batching,crossbeam,64,,,36457686.0,ns,1518
Batching,crossbeam,64,,,37239696.0,ns,1551
Batching,crossbeam,64,,,38086311.0,ns,1584
Batching,crossbeam,64,,,38883541.0,ns,1617
Batching,crossbeam,64,,,39642034.0,ns,1650
