group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,flume,1024,,,1486713.0,ns,2
Batching,flume,1024,,,2903945.0,ns,4
Batching,flume,1024,,,4436296.0,ns,6
Batching,flume,1024,,,5847226.0,ns,8
Batching,flume,1024,,,7378345.0,ns,10
Batching,flume,1024,,,8763356.0,ns,12
Batching,flume,1024,,,10198246.0,ns,14
Batching,flume,1024,,,11763153.0,ns,16
Batching,flume,1024,,,13226973.0,ns,18
Batching,flume,1024,,,14792431.0,ns,20
Batching,flume,1024,,,16315870.0,ns,22
Batching,flume,1024,,,17539585.0,ns,24
Batching,flume,1024,,,19253965.0,ns,26
Batching,flume,1024,,,20629523.0,ns,28
Batching,flume,1024,,,21532437.0,ns,30
Batching,flume,1024,,,23472916.0,ns,32
Batching,flume,1024,,,24956043.0,ns,34
Batching,flume,1024,,,25839083.0,ns,36
Batching,flume,1024,,,27621097.0,ns,38
Batching,flume,1024,,,29489889.0,ns,40
Batching,flume,1024,,,30771326.0,ns,42
Batching,flume,1024,,,32589952.0,ns,44
Batching,flume,1024,,,33207771.0,ns,46
Batching,flume,1024,,,34419760.0,ns,48
Batching,flume,1024,,,36578553.0,ns,50
Batching,flume,1024,,,38443783.0,ns,52
Batching,flume,1024,,,39984468.0,ns,54
Batching,flume,1024,,,41217760.0,ns,56
Batching,flume,1024,,,42714704.0,ns,58
Batching,flume,1024,,,44374003.0,ns,60
Batching,flume,1024,,,45390835.0,ns,62
Batching,flume,1024,,,45905950.0,ns,64
Batching,flume,1024,,,47907353.0,ns,66
Batching,flume,1024,,,49063598.0,ns,68
Batching,flume,1024,,,50156360.0,ns,70
Batching,flume,1024,,,51550790.0,ns,72
Batching,flume,1024,,,52975185.0,ns,74
Batching,flume,1024,,,54419774.0,ns,76
Batching,flume,1024,,,55850420.0,ns,78
Batching,flume,1024,,,57259612.0,ns,80
Batching,flume,1024,,,59960875.0,ns,82
Batching,flume,1024,,,60995620.0,ns,84
Batching,flume,1024,,,62627439.0,ns,86
Batching,flume,1024,,,64271312.0,ns,88
Batching,flume,1024,,,65224753.0,ns,90
Batching,flume,1024,,,67031464.0,ns,92
Batching,flume,1024,,,68411339.0,ns,94
Batching,flume,1024,,,68926905.0,ns,96
Batching,flume,1024,,,70242050.0,ns,98
Batching,flume,1024,,,72121204.0,ns,100
