group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,flume,256,,,767446.0,ns,7
Batching,flume,256,,,1509663.0,ns,14
Batching,flume,256,,,2319889.0,ns,21
Batching,flume,256,,,3014204.0,ns,28
Batching,flume,256,,,3869519.0,ns,35
Batching,flume,256,,,4512733.0,ns,42
Batching,flume,256,,,5267477.0,ns,49
Batching,flume,256,,,6039551.0,ns,56
Batching,flume,256,,,6764905.0,ns,63
Batching,flume,256,,,7514079.0,ns,70
Batching,flume,256,,,8278095.0,ns,77
Batching,flume,256,,,9064874.0,ns,84
Batching,flume,256,,,9778125.0,ns,91
Batching,flume,256,,,10511881.0,ns,98
Batching,flume,256,,,11262360.0,ns,105
Batching,flume,256,,,12045265.0,ns,112
Batching,flume,256,,,12789433.0,ns,119
Batching,flume,256,,,14058465.0,ns,126
Batching,flume,256,,,14239575.0,ns,133
Batching,flume,256,,,15038144.0,ns,140
Batching,flume,256,,,15761989.0,ns,147
Batching,flume,256,,,16525832.0,ns,154
Batching,flume,256,,,17270805.0,ns,161
Batching,flume,256,,,18064048.0,ns,168
Batching,flume,256,,,18758732.0,ns,175
Batching,flume,256,,,19495656.0,ns,182
Batching,flume,256,,,20313456.0,ns,189
Batching,flume,256,,,21080255.0,ns,196
Batching,flume,256,,,21836698.0,ns,203
Batching,flume,256,,,22421614.0,ns,210
Batching,flume,256,,,23302438.0,ns,217
Batching,flume,256,,,24051727.0,ns,224
Batching,flume,256,,,24805455.0,ns,231
Batching,flume,256,,,25500343.0,ns,238
Batching,flume,256,,,26357824.0,ns,245
Batching,flume,256,,,27089201.0,ns,252
Batching,flume,256,,,27924619.0,ns,259
Batching,flume,256,,,28578572.0,ns,266
Batching,flume,256,,,29351122.0,ns,273
Batching,flume,256,,,30046462.0,ns,280
Batching,flume,256,,,30827200.0,ns,287
Batching,flume,256,,,31529958.0,ns,294
Batching,flume,256,,,32264198.0,ns,301
Batching,flume,256,,,33144424.0,ns,308
Batching,flume,256,,,34009535.0,ns,315
Batching,flume,256,,,34580780.0,ns,322
Batching,flume,256,,,35405801.0,ns,329
Batching,flume,256,,,36203146.0,ns,336
Batching,flume,256,,,37029194.0,ns,343
Batching,flume,256,,,37723885.0,ns,350
