group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap_queue,1024,,,1416411.0,ns,2
Batching,swap_queue,1024,,,2814131.0,ns,4
Batching,swap_queue,1024,,,4210974.0,ns,6
Batching,swap_queue,1024,,,5588690.0,ns,8
Batching,swap_queue,1024,,,7012264.0,ns,10
Batching,swap_queue,1024,,,8397693.0,ns,12
Batching,swap_queue,1024,,,9811832.0,ns,14
Batching,swap_queue,1024,,,11201732.0,ns,16
Batching,swap_queue,1024,,,12562275.0,ns,18
Batching,swap_queue,1024,,,13942198.0,ns,20
Batching,swap_queue,1024,,,15340632.0,ns,22
Batching,swap_queue,1024,,,16748961.0,ns,24
Batching,swap_queue,1024,,,18158858.0,ns,26
Batching,swap_queue,1024,,,19564554.0,ns,28
Batching,swap_queue,1024,,,20890922.0,ns,30
Batching,swap_queue,1024,,,22324655.0,ns,32
Batching,swap_queue,1024,,,23746260.0,ns,34
Batching,swap_queue,1024,,,25111381.0,ns,36
Batching,swap_queue,1024,,,26541110.0,ns,38
Batching,swap_queue,1024,,,27956971.0,ns,40
Batching,swap_queue,1024,,,29295803.0,ns,42
Batching,swap_queue,1024,,,30742180.0,ns,44
Batching,swap_queue,1024,,,32160815.0,ns,46
Batching,swap_queue,1024,,,33619162.0,ns,48
Batching,swap_queue,1024,,,34983209.0,ns,50
Batching,swap_queue,1024,,,36342964.0,ns,52
Batching,swap_queue,1024,,,37694678.0,ns,54
Batching,swap_queue,1024,,,39038326.0,ns,56
Batching,swap_queue,1024,,,40432904.0,ns,58
Batching,swap_queue,1024,,,41862673.0,ns,60
Batching,swap_queue,1024,,,43351232.0,ns,62
Batching,swap_queue,1024,,,44743249.0,ns,64
Batching,swap_queue,1024,,,46188321.0,ns,66
Batching,swap_queue,1024,,,47615933.0,ns,68
Batching,swap_queue,1024,,,48976837.0,ns,70
Batching,swap_queue,1024,,,50385716.0,ns,72
Batching,swap_queue,1024,,,51763530.0,ns,74
Batching,swap_queue,1024,,,53006896.0,ns,76
Batching,swap_queue,1024,,,54314106.0,ns,78
Batching,swap_queue,1024,,,55695170.0,ns,80
Batching,swap_queue,1024,,,57145730.0,ns,82
Batching,swap_queue,1024,,,58736328.0,ns,84
Batching,swap_queue,1024,,,60250716.0,ns,86
Batching,swap_queue,1024,,,61636678.0,ns,88
Batching,swap_queue,1024,,,63034718.0,ns,90
Batching,swap_queue,1024,,,64717705.0,ns,92
Batching,swap_queue,1024,,,65776227.0,ns,94
Batching,swap_queue,1024,,,67122804.0,ns,96
Batching,swap_queue,1024,,,68669603.0,ns,98
Batching,swap_queue,1024,,,70044292.0,ns,100
