group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap_queue,64,,,769285.0,ns,34
Batching,swap_queue,64,,,1533269.0,ns,68
Batching,swap_queue,64,,,2292519.0,ns,102
Batching,swap_queue,64,,,3059349.0,ns,136
Batching,swap_queue,64,,,3823399.0,ns,170
Batching,swap_queue,64,,,4590239.0,ns,204
Batching,swap_queue,64,,,5357644.0,ns,238
Batching,swap_queue,64,,,6112159.0,ns,272
Batching,swap_queue,64,,,6913641.0,ns,306
Batching,swap_queue,64,,,7652641.0,ns,340
Batching,swap_queue,64,,,8455344.0,ns,374
Batching,swap_queue,64,,,9391635.0,ns,408
Batching,swap_queue,64,,,10072863.0,ns,442
Batching,swap_queue,64,,,10710899.0,ns,476
Batching,swap_queue,64,,,11618676.0,ns,510
Batching,swap_queue,64,,,12596781.0,ns,544
Batching,swap_queue,64,,,13372384.0,ns,578
Batching,swap_queue,64,,,13769394.0,ns,612
Batching,swap_queue,64,,,14595918.0,ns,646
Batching,swap_queue,64,,,15304969.0,ns,680
Batching,swap_queue,64,,,16077848.0,ns,714
Batching,swap_queue,64,,,16837786.0,ns,748
Batching,swap_queue,64,,,17630619.0,ns,782
Batching,swap_queue,64,,,18674085.0,ns,816
Batching,swap_queue,64,,,19476100.0,ns,850
Batching,swap_queue,64,,,20279510.0,ns,884
Batching,swap_queue,64,,,20988011.0,ns,918
Batching,swap_queue,64,,,22059694.0,ns,952
Batching,swap_queue,64,,,22676281.0,ns,986
Batching,swap_queue,64,,,23004600.0,ns,1020
Batching,swap_queue,64,,,23742812.0,ns,1054
Batching,swap_queue,64,,,24697384.0,ns,1088
Batching,swap_queue,64,,,25560395.0,ns,1122
Batching,swap_queue,64,,,26266698.0,ns,1156
Batching,swap_queue,64,,,27326746.0,ns,1190
Batching,swap_queue,64,,,27625156.0,ns,1224
Batching,swap_queue,64,,,28482120.0,ns,1258
Batching,swap_queue,64,,,29096698.0,ns,1292
Batching,swap_queue,64,,,29842475.0,ns,1326
Batching,swap_queue,64,,,30612120.0,ns,1360
Batching,swap_queue,64,,,31364372.0,ns,1394
Batching,swap_queue,64,,,32420802.0,ns,1428
Batching,swap_queue,64,,,33072170.0,ns,1462
Batching,swap_queue,64,,,33696651.0,ns,1496
Batching,swap_queue,64,,,34429686.0,ns,1530
Batching,swap_queue,64,,,35697947.0,ns,1564
Batching,swap_queue,64,,,35968517.0,ns,1598
Batching,swap_queue,64,,,36716477.0,ns,1632
Batching,swap_queue,64,,,37489462.0,ns,1666
Batching,swap_queue,64,,,38266788.0,ns,1700
