group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,tokio::mpsc,256,,,785227.0,ns,7
Batching,tokio::mpsc,256,,,1565136.0,ns,14
Batching,tokio::mpsc,256,,,2346892.0,ns,21
Batching,tokio::mpsc,256,,,3176452.0,ns,28
Batching,tokio::mpsc,256,,,3949173.0,ns,35
Batching,tokio::mpsc,256,,,4737288.0,ns,42
Batching,tokio::mpsc,256,,,5521047.0,ns,49
Batching,tokio::mpsc,256,,,6289477.0,ns,56
Batching,tokio::mpsc,256,,,7066048.0,ns,63
Batching,tokio::mpsc,256,,,7882150.0,ns,70
Batching,tokio::mpsc,256,,,8642910.0,ns,77
Batching,tokio::mpsc,256,,,9451316.0,ns,84
Batching,tokio::mpsc,256,,,10220198.0,ns,91
Batching,tokio::mpsc,256,,,11008174.0,ns,98
Batching,tokio::mpsc,256,,,11781175.0,ns,105
Batching,tokio::mpsc,256,,,12649658.0,ns,112
Batching,tokio::mpsc,256,,,13415275.0,ns,119
Batching,tokio::mpsc,256,,,14154119.0,ns,126
Batching,tokio::mpsc,256,,,14963919.0,ns,133
Batching,tokio::mpsc,256,,,15774655.0,ns,140
Batching,tokio::mpsc,256,,,16548461.0,ns,147
Batching,tokio::mpsc,256,,,17375969.0,ns,154
Batching,tokio::mpsc,256,,,18130927.0,ns,161
Batching,tokio::mpsc,256,,,18842915.0,ns,168
Batching,tokio::mpsc,256,,,19584335.0,ns,175
Batching,tokio::mpsc,256,,,20356818.0,ns,182
Batching,tokio::mpsc,256,,,21201960.0,ns,189
Batching,tokio::mpsc,256,,,21956803.0,ns,196
Batching,tokio::mpsc,256,,,22769303.0,ns,203
Batching,tokio::mpsc,256,,,23519494.0,ns,210
Batching,tokio::mpsc,256,,,24331043.0,ns,217
Batching,tokio::mpsc,256,,,25197828.0,ns,224
Batching,tokio::mpsc,256,,,25959851.0,ns,231
Batching,tokio::mpsc,256,,,26669623.0,ns,238
Batching,tokio::mpsc,256,,,27389365.0,ns,245
Batching,tokio::mpsc,256,,,28308196.0,ns,252
Batching,tokio::mpsc,256,,,28959294.0,ns,259
Batching,tokio::mpsc,256,,,29881997.0,ns,266
Batching,tokio::mpsc,256,,,30708619.0,ns,273
Batching,tokio::mpsc,256,,,31464610.0,ns,280
Batching,tokio::mpsc,256,,,32265656.0,ns,287
Batching,tokio::mpsc,256,,,33025103.0,ns,294
Batching,tokio::mpsc,256,,,33844405.0,ns,301
Batching,tokio::mpsc,256,,,34521949.0,ns,308
Batching,tokio::mpsc,256,,,35297895.0,ns,315
Batching,tokio::mpsc,256,,,36162276.0,ns,322
Batching,tokio::mpsc,256,,,36844242.0,ns,329
Batching,tokio::mpsc,256,,,37585933.0,ns,336
Batching,tokio::mpsc,256,,,38448247.0,ns,343
Batching,tokio::mpsc,256,,,39149428.0,ns,350
