group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,tokio::mpsc,64,,,43166.0,ns,4
Batching,tokio::mpsc,64,,,88910.0,ns,8
Batching,tokio::mpsc,64,,,128154.0,ns,12
Batching,tokio::mpsc,64,,,180133.0,ns,16
Batching,tokio::mpsc,64,,,215817.0,ns,20
Batching,tokio::mpsc,64,,,256440.0,ns,24
Batching,tokio::mpsc,64,,,310881.0,ns,28
Batching,tokio::mpsc,64,,,344849.0,ns,32
Batching,tokio::mpsc,64,,,384652.0,ns,36
Batching,tokio::mpsc,64,,,427244.0,ns,40
Batching,tokio::mpsc,64,,,469927.0,ns,44
Batching,tokio::mpsc,64,,,512799.0,ns,48
Batching,tokio::mpsc,64,,,555096.0,ns,52
Batching,tokio::mpsc,64,,,602882.0,ns,56
Batching,tokio::mpsc,64,,,648026.0,ns,60
Batching,tokio::mpsc,64,,,688370.0,ns,64
Batching,tokio::mpsc,64,,,728763.0,ns,68
Batching,tokio::mpsc,64,,,781104.0,ns,72
Batching,tokio::mpsc,64,,,811355.0,ns,76
Batching,tokio::mpsc,64,,,854251.0,ns,80
Batching,tokio::mpsc,64,,,896860.0,ns,84
Batching,tokio::mpsc,64,,,947322.0,ns,88
Batching,tokio::mpsc,64,,,990185.0,ns,92
Batching,tokio::mpsc,64,,,1024760.0,ns,96
Batching,tokio::mpsc,64,,,1067771.0,ns,100
Batching,tokio::mpsc,64,,,1110028.0,ns,104
Batching,tokio::mpsc,64,,,1170507.0,ns,108
Batching,tokio::mpsc,64,,,1208382.0,ns,112
Batching,tokio::mpsc,64,,,1254477.0,ns,116
Batching,tokio::mpsc,64,,,1292310.0,ns,120
Batching,tokio::mpsc,64,,,1347941.0,ns,124
Batching,tokio::mpsc,64,,,1367715.0,ns,128
Batching,tokio::mpsc,64,,,1423895.0,ns,132
Batching,tokio::mpsc,64,,,1462582.0,ns,136
Batching,tokio::mpsc,64,,,1510311.0,ns,140
Batching,tokio::mpsc,64,,,1548645.0,ns,144
Batching,tokio::mpsc,64,,,1586207.0,ns,148
Batching,tokio::mpsc,64,,,1639286.0,ns,152
Batching,tokio::mpsc,64,,,1687614.0,ns,156
Batching,tokio::mpsc,64,,,1714460.0,ns,160
Batching,tokio::mpsc,64,,,1764855.0,ns,164
Batching,tokio::mpsc,64,,,1800015.0,ns,168
Batching,tokio::mpsc,64,,,1851526.0,ns,172
Batching,tokio::mpsc,64,,,1899821.0,ns,176
Batching,tokio::mpsc,64,,,1935061.0,ns,180
Batching,tokio::mpsc,64,,,1970728.0,ns,184
Batching,tokio::mpsc,64,,,2016726.0,ns,188
Batching,tokio::mpsc,64,,,2076163.0,ns,192
Batching,tokio::mpsc,64,,,2111494.0,ns,196
Batching,tokio::mpsc,64,,,2144199.0,ns,200
Batching,tokio::mpsc,64,,,2215690.0,ns,204
Batching,tokio::mpsc,64,,,2238353.0,ns,208
Batching,tokio::mpsc,64,,,2285228.0,ns,212
Batching,tokio::mpsc,64,,,2318130.0,ns,216
Batching,tokio::mpsc,64,,,2364283.0,ns,220
Batching,tokio::mpsc,64,,,2410986.0,ns,224
Batching,tokio::mpsc,64,,,2439843.0,ns,228
Batching,tokio::mpsc,64,,,2486932.0,ns,232
Batching,tokio::mpsc,64,,,2546189.0,ns,236
Batching,tokio::mpsc,64,,,2635131.0,ns,240
Batching,tokio::mpsc,64,,,2643763.0,ns,244
Batching,tokio::mpsc,64,,,2664260.0,ns,248
Batching,tokio::mpsc,64,,,2716205.0,ns,252
Batching,tokio::mpsc,64,,,2757124.0,ns,256
Batching,tokio::mpsc,64,,,2799774.0,ns,260
Batching,tokio::mpsc,64,,,2831847.0,ns,264
Batching,tokio::mpsc,64,,,2878296.0,ns,268
